Идентификатор УБИ,Наименование УБИ,Описание,Лемматизированное описание
1,Угроза автоматического распространения вредоносного кода в грид-системе,"Угроза заключается в возможности внедрения и запуска вредоносного кода от имени доверенного процесса на любом из ресурсных центров грид-системы и его автоматического распространения на все узлы грид-системы. _x000D_
Данная угроза обусловлена слабостями технологии грид-вычислений – высоким уровнем автоматизации при малой администрируемости грид-системы._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя привилегий легального пользователя грид-системы","возможность внедрение запуск вредоносный код автоматический распространение слабость высокий уровень нарушитель гридсистема
"
2,"Угроза агрегирования данных, передаваемых в грид-системе","Угроза заключается в возможности раскрытия нарушителем защищаемой информации путём выявления задействованных в её обработке узлов, сбора, анализа и обобщения данных, перехватываемых в сети передачи данных грид-системы._x000D_
Данная угроза обусловлена слабостью технологии грид-вычислений – использованием незащищённых каналов сети Интернет как транспортной сети грид-системы._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя:_x000D_
сил и средств, достаточных для компенсации чрезвычайной распределённости грид-заданий между узлами грид-системы;_x000D_
привилегий, достаточных для перехвата трафика сети передачи данных между элементами (узлами) грид-системы","раскрытие нарушитель информация сбор анализ обобщение данные перехватывать передача данные гридсистема незащищённый канал транспортный перехват трафик сеть передача данные элемент узел гридсистема
"
3,Угроза использования слабостей криптографических алгоритмов и уязвимостей в программном обеспечении их реализации,"Угроза заключается в возможности выявления слабых мест в криптографических алгоритмах или уязвимостей в реализующем их программном обеспечении._x000D_
Данная угроза обусловлена слабостями криптографических алгоритмов, а также ошибками в программном коде криптографических средств, их сопряжении с системой или параметрах их настройки._x000D_
Реализация угрозы возможна в случае наличия у нарушителя сведений об применяемых в системе средствах шифрования, реализованных в них алгоритмах шифрования и параметрах их настройки","выявление слабый криптографический алгоритм слабость криптографический алгоритм ошибка программный код криптографический средство средство шифрование реализовать алгоритм шифрование параметр
"
4,Угроза аппаратного сброса пароля BIOS,"Угроза заключается в возможности сброса паролей, установленных в BIOS/UEFI без прохождения процедуры авторизации в системе путём обесточивания микросхемы BIOS (съёма аккумулятора) или установки перемычки в штатном месте на системной плате (переключение «джампера»)._x000D_
Данная угроза обусловлена уязвимостями некоторых системных (материнских) плат – наличием механизмов аппаратного сброса паролей, установленных в BIOS/UEFI._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя физического доступа к системному блоку компьютера","сброс пароль авторизация аппаратный сброс пароль нарушитель физический доступ системный блок компьютер
"
5,Угроза внедрения вредоносного кода в BIOS,"Угроза заключается в возможности заставить BIOS/UEFI выполнять вредоносный код при каждом запуске компьютера, внедрив его в BIOS/UEFI путём замены микросхемы BIOS/UEFI или обновления программного обеспечения BIOS/UEFI на версию, уже содержащую вредоносный код._x000D_
Данная угроза обусловлена слабостями технологий контроля за обновлением программного обеспечения BIOS/UEFI и заменой чипсета BIOS/UEFI._x000D_
Реализация данной угрозы возможна в ходе проведения ремонта и обслуживания компьютера","вредоносный внедрение код запуск компьютер путь замена микросхема обновление программный слабость обновление замена чипсет 
"
6,Угроза внедрения кода или данных,"Угроза заключается в возможности внедрения нарушителем в дискредитируемую информационную систему или IoT-устройство вредоносного кода, который может быть в дальнейшем запущен «вручную» пользователями, автоматически при выполнении определённого условия (наступления определённой даты, входа пользователя в систему и т.п.) или с использованием аутентификационных данных, заданных «по умолчанию», а также в возможности несанкционированного внедрения нарушителем некоторых собственных данных для обработки в дискредитируемую информационную систему, фактически осуществив незаконное использование чужих вычислительных ресурсов, и блокирования работы устройства при выполнении определенных команд._x000D_
Данная угроза обусловлена:_x000D_
наличием уязвимостей программного обеспечения;_x000D_
слабостями мер антивирусной защиты и разграничения доступа;_x000D_
наличием открытого Telnet-порта на IoT-устройстве (только для IoT-устройств)._x000D_
Реализация данной угрозы возможна:_x000D_
в случае работы дискредитируемого пользователя с файлами, поступающими из недоверенных источников;_x000D_
при наличии у него привилегий установки программного обеспечения;_x000D_
в случае неизмененных владельцем учетных данных IoT-устройства (заводских пароля и логина)","внедрение нарушитель вредоносный код автоматически выполнение аутентификационный данные задать умолчание также возможность несанкционированный внедрение нарушитель некоторый собственный данные чужой вычислительный ресурс блокирование работа устройство выполнение определённый команда слабость мера антивирусный защита разграничение доступ наличие открытый порт устройство устройство реализация файл поступать недоверенный источник наличие привилегия установка программный обеспечение случай неизменённый владелец учётный данные устройство заводский пароль логин
"
7,Угроза воздействия на программы с высокими привилегиями,"Угроза заключается в возможности повышения нарушителем своих привилегий в дискредитированной системе (получения привилегии дискредитированных программ) путём использования ошибок в программах и выполнения произвольного кода с их привилегиями._x000D_
Данная угроза обусловлена слабостями механизма проверки входных данных и команд, а также мер по разграничению доступа._x000D_
Реализация данной угрозы возможна при условиях:_x000D_
обладания дискредитируемой программой повышенными привилегиями в системе;_x000D_
осуществления дискредитируемой программой приёма входных данных от других программ или от пользователя;_x000D_
нарушитель имеет возможность осуществлять передачу данных к дискредитируемой программе","повышение привилегия выполнение произвольный код передача данные ошибка программа
"
8,Угроза восстановления и/или повторного использования аутентификационной информации,"Угроза заключается в возможности доступа к данным пользователя в результате подбора (например, путём полного перебора или перебора по словарю) аутентификационной информации дискредитируемой учётной записи пользователя в системе, а также путём перехвата и повторного использования хэша пароля, для восстановления сеанса._x000D_
Данная угроза обусловлена следующими недостатками:_x000D_
значительно меньшим объёмом данных хеш-кода аутентификационной информации по сравнению с ней самой (время подбора хеш-кодов меньше времени полного перебора аутентификационной информации); _x000D_
слабостями алгоритма расчёта хеш-кода, допускающими его повторное использование для выполнения успешной аутентификации._x000D_
Реализация данной угрозы возможна с помощью специальных программных средств, а также в некоторых случаях – «вручную»","подбор полный перебор перебор словарь аутентификационный учётный запись пользователь перехват хэш пароль восстановление сеанс аутентификационный информация полный перебор аутентификационный информация хешкода допускать повторный использование выполнение успешный аутентификация
"
9,Угроза восстановления предыдущей уязвимой версии BIOS,"Угроза заключается в возможности осуществления вынужденного перехода на использование BIOS/UEFI, содержащей уязвимости._x000D_
Данная угроза обусловлена слабостями технологий контроля за обновлением программного обеспечения BIOS/UEFI._x000D_
При использовании технологии обновления BIOS/UEFI возможно возникновение следующей ситуации (условия, характеризующие ситуацию указаны в хронологическом порядке): _x000D_
на компьютере установлена некоторая версия BIOS/UEFI, для которой на момент её работы не известны уязвимости; _x000D_
в силу некоторых обстоятельств BIOS/UEFI проходит процедуру обновления, сохраняя при этом предыдущую версию BIOS/UEFI на случай «отката» системы; _x000D_
публикуются данные о существовании уязвимостей в предыдущей версии BIOS/UEFI; _x000D_
происходит сбой в работе системы, в результате чего текущая (новая) версия BIOS/UEFI становится неработоспособной (например, нарушается её целостность);_x000D_
пользователь осуществляет штатную процедуру восстановления работоспособности системы – проводит «откат» системы к предыдущему работоспособному состоянию","использование уязвимость версия предыдущий версия контроль обновления программный обеспечение откат система возврат предыдущий версия
"
10,Угроза выхода процесса за пределы виртуальной машины,"Угроза заключается в возможности запуска вредоносной программой собственного гипервизора, функционирующего по уровню логического взаимодействия ниже компрометируемого гипервизора._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения гипервизора, реализующего функцию изолированной программной среды для функционирующих в ней программ, а также слабостями инструкций аппаратной поддержки виртуализации на уровне процессора._x000D_
Реализация данной угрозы приводит не только к компрометации гипервизора, но и запущенных в созданной им виртуальной среде средств защиты, а, следовательно, к их неспособности выполнять функции безопасности в отношении вредоносных программ, функционирующих под управлением собственного гипервизора","запуск вредоносный уязвимость программный обеспечение гипервизора реализовать функция изолировать программный среда функционировать программа также слабость инструкция аппаратный поддержка виртуализация виртуальный среда средство защита следовательно неспособность выполнять функция безопасность отношение вредоносный программа функционировать управление собственный гипервизора
"
